

 Aerodynamic loads on estructural (master) nodes


 FORMAT
 iter time
 numbNodes
 nodeId fx fy fz mx my mz
 nodeId fx fy fz mx my mz
 ...
 nodeId fx fy fz mx my mz


 Note: forces are in global coords., but
       moments are in local nodes coords.


      1 0.00000E+00
     11
      3  0.00000E+00  0.00000E+00  0.00000E+00  0.27007E-01 -0.45072E-15  0.11155E+00
      4  0.00000E+00  0.00000E+00  0.00000E+00  0.84611E-01  0.13168E-15  0.12249E-01
      5  0.00000E+00  0.00000E+00  0.00000E+00  0.86116E-01  0.43598E-15  0.14498E-02
      6  0.00000E+00  0.00000E+00  0.00000E+00  0.84379E-01  0.22555E-15  0.10327E-04
      7  0.00000E+00  0.00000E+00  0.00000E+00  0.82069E-01 -0.22169E-15 -0.14815E-02
      8  0.00000E+00  0.00000E+00  0.00000E+00  0.79676E-01 -0.31892E-15 -0.17388E-02
      9  0.00000E+00  0.00000E+00  0.00000E+00  0.77332E-01  0.21272E-15 -0.21974E-02
     10  0.00000E+00  0.00000E+00  0.00000E+00  0.74997E-01 -0.16914E-16 -0.24734E-02
     11  0.00000E+00  0.00000E+00  0.00000E+00  0.72202E-01  0.55836E-17 -0.48239E-02
     12  0.00000E+00  0.00000E+00  0.00000E+00  0.66028E-01  0.10173E-15 -0.17508E-01
     13  0.00000E+00  0.00000E+00  0.00000E+00  0.27239E-01  0.96982E-16 -0.95034E-01
     11
     25  0.00000E+00  0.00000E+00  0.00000E+00 -0.51448E-01 -0.19327E-16 -0.21274E+00
     26  0.00000E+00  0.00000E+00  0.00000E+00 -0.16150E+00 -0.76783E-16 -0.23706E-01
     27  0.00000E+00  0.00000E+00  0.00000E+00 -0.16448E+00 -0.64795E-16 -0.30627E-02
     28  0.00000E+00  0.00000E+00  0.00000E+00 -0.16113E+00 -0.19594E-17  0.61653E-03
     29  0.00000E+00  0.00000E+00  0.00000E+00 -0.15687E+00 -0.11160E-15  0.20886E-02
     30  0.00000E+00  0.00000E+00  0.00000E+00 -0.15247E+00  0.49160E-17  0.30911E-02
     31  0.00000E+00  0.00000E+00  0.00000E+00 -0.14808E+00 -0.70705E-16  0.40147E-02
     32  0.00000E+00  0.00000E+00  0.00000E+00 -0.14359E+00 -0.32996E-16  0.52404E-02
     33  0.00000E+00  0.00000E+00  0.00000E+00 -0.13834E+00 -0.25474E-16  0.85637E-02
     34  0.00000E+00  0.00000E+00  0.00000E+00 -0.12666E+00 -0.65791E-16  0.33493E-01
     35  0.00000E+00  0.00000E+00  0.00000E+00 -0.52228E-01  0.47725E-17  0.18240E+00
     11
     47  0.00000E+00  0.00000E+00  0.00000E+00  0.24695E-01 -0.30197E-15  0.10201E+00
     48  0.00000E+00  0.00000E+00  0.00000E+00  0.77418E-01 -0.39018E-16  0.11333E-01
     49  0.00000E+00  0.00000E+00  0.00000E+00  0.78889E-01 -0.43822E-15  0.14685E-02
     50  0.00000E+00  0.00000E+00  0.00000E+00  0.77392E-01  0.15938E-16  0.15053E-03
     51  0.00000E+00  0.00000E+00  0.00000E+00  0.75365E-01  0.31141E-15 -0.12222E-02
     52  0.00000E+00  0.00000E+00  0.00000E+00  0.73255E-01  0.93377E-16 -0.14646E-02
     53  0.00000E+00  0.00000E+00  0.00000E+00  0.71184E-01 -0.33792E-15 -0.18933E-02
     54  0.00000E+00  0.00000E+00  0.00000E+00  0.69114E-01  0.82833E-16 -0.21553E-02
     55  0.00000E+00  0.00000E+00  0.00000E+00  0.66612E-01  0.10135E-15 -0.43344E-02
     56  0.00000E+00  0.00000E+00  0.00000E+00  0.60980E-01 -0.11384E-17 -0.16075E-01
     57  0.00000E+00  0.00000E+00  0.00000E+00  0.25172E-01 -0.16128E-15 -0.87812E-01


